#ver@1.12
TASE	KONTO NR	VALUUTA	KONTO NIMETUS	KLASS	TÜÜP	Bilansirida	Bilansigrupp	Kasumiaruande rida	Kasumiaruande grupp
6	201100	EUR	Võlad tarnijatele (Eesti)	Detailne	Passiva	2.1.1.2.1.1	Võlad ja ettemaksed		
6	201101	EUR	Võlad tarnijatele (EL-sisene)	Detailne	Passiva	2.1.1.2.1.2	Võlad ja ettemaksed		
6	201102	EUR	Võlad tarnijatele (EL-väline)	Detailne	Passiva	2.1.1.2.1.3	Võlad ja ettemaksed		
5	20111	EUR	Võlad töövõtjatele	Detailne	Passiva	2.1.1.2.2	Võlad ja ettemaksed		
6	201110	EUR	Palgavõlg	Detailne	Passiva	2.1.1.2.2.1	Võlad ja ettemaksed		
6	201111	EUR	Puhkusetasu reserv	Detailne	Passiva	2.1.1.2.2.2	Võlad ja ettemaksed		
6	201112	EUR	Muud võlad töövõtjatele	Detailne	Passiva	2.1.1.2.2.3	Võlad ja ettemaksed		
6	201113	EUR	Dividendivõlad (viitvõlg)	Detailne	Passiva	2.1.1.2.2.4	Võlad ja ettemaksed		
6	201114	EUR	Sotsiaalmaksu viitvõlg	Detailne	Passiva	2.1.1.2.2.5	Võlad ja ettemaksed		
6	201115	EUR	Kinnipeetud tulumaksu viitvõlg	Detailne	Passiva	2.1.1.2.2.6	Võlad ja ettemaksed		
6	201116	EUR	Töövõtja töötuskindlustuse viitvõlg	Detailne	Passiva	2.1.1.2.2.7	Võlad ja ettemaksed		
6	201117	EUR	Tööandja töötuskinldustuse viitvõlg	Detailne	Passiva	2.1.1.2.2.8	Võlad ja ettemaksed		
6	201118	EUR	Kogumispensioni viitvõlg	Detailne	Passiva	2.1.1.2.2.9	Võlad ja ettemaksed		
6	201119	EUR	Muud viitvõlad	Detailne	Passiva	2.1.1.2.2.10	Võlad ja ettemaksed		
5	20112	EUR	Maksuvõlad	Detailne	Passiva	2.1.1.2.3	Võlad ja ettemaksed		
6	201120	EUR	Ettevõtte tulumaks	Detailne	Passiva	2.1.1.2.3.1	Võlad ja ettemaksed		
6	201121	EUR	Käibemaks	Detailne	Passiva	2.1.1.2.3.2	Võlad ja ettemaksed		
7	2011210	EUR	Müügi käibemaks	Detailne	Passiva	2.1.1.2.3.2.1	Võlad ja ettemaksed		
7	2011211	EUR	Ostu käibemaks	Detailne	Passiva	2.1.1.2.3.2.2	Võlad ja ettemaksed		
7	2011212	EUR	Käibemaks klientide ettemaksetelt	Detailne	Passiva	2.1.1.2.3.2.3	Võlad ja ettemaksed		
